timestamp,f3_temp,f3_hum,f10_temp,f10_hum,out_temp,out_hum,entemp,enhum,extemp,exthum,cammode,outstatus_0x0002,outstatus_0x0004,outstatus_0x0008
2020-07-04 13:00:00,24.22,46.29999999999999,23.73,47.123333333333335,21.3,1.0,24.8,97.13333333333333,18.13333333333333,86.36666666666667,4.0,1.0,1.0,1.0
2020-07-04 13:10:00,24.23,46.18222222222222,23.766666666666666,47.01222222222222,21.11111111111111,1.0,24.68888888888889,97.63333333333334,18.5,62.800000000000004,4.0,1.0,1.0,1.0
2020-07-09 15:40:00,24.72,42.946666666666665,24.52,42.84666666666667,19.9,100.0,23.899999999999995,99.90000000000002,17.633333333333336,93.10000000000001,4.0,1.0,1.0,0.6666666666666666
2020-07-09 15:50:00,24.68,43.352000000000004,24.526000000000003,42.922,19.95,100.0,23.739999999999995,99.89999999999999,18.7,69.45,4.0,1.0,1.0,1.0
2020-07-09 16:00:00,24.723,42.98,24.520000000000003,42.870999999999995,20.0,99.0,23.840000000000003,99.89999999999999,20.17,59.30999999999999,4.0,1.0,1.0,1.0
2020-07-09 16:10:00,24.723,42.88699999999999,24.520000000000003,42.696,20.049999999999997,98.5,23.900000000000002,99.89999999999999,20.419999999999998,57.75,4.0,1.0,1.0,1.0
2020-07-09 16:20:00,24.791999999999994,42.852,24.544,42.574,20.15,99.0,23.900000000000002,99.89999999999999,20.54,56.33,4.0,1.0,1.0,1.0
2020-07-09 16:30:00,24.831999999999997,42.812000000000005,24.61,42.451,20.199999999999996,97.5,24.059999999999995,99.89999999999999,20.339999999999996,57.589999999999996,4.0,1.0,1.0,1.0
2020-07-09 16:40:00,24.733999999999998,42.992000000000004,24.604999999999997,42.318999999999996,20.300000000000004,92.5,24.119999999999997,99.89999999999999,20.339999999999996,57.14,4.0,1.0,1.0,1.0
2020-07-09 16:50:00,24.811999999999994,42.72999999999999,24.609999999999996,42.23799999999999,20.300000000000004,62.0,24.129999999999995,99.89999999999999,20.279999999999998,57.04,4.0,1.0,1.0,1.0
2020-07-09 17:00:00,24.834999999999997,42.483999999999995,24.615,42.13000000000001,20.400000000000002,43.5,24.199999999999996,99.89999999999999,20.189999999999998,57.39,4.0,1.0,1.0,1.0
2020-07-09 17:10:00,24.805,42.62,24.615,42.037,20.45,40.0,24.189999999999994,99.89999999999999,20.35,55.910000000000004,4.0,1.0,1.0,1.0
2020-07-09 17:20:00,24.732999999999997,42.5,24.604999999999997,41.96300000000001,20.450000000000003,39.0,24.129999999999995,99.89999999999999,20.16,56.879999999999995,4.0,1.0,1.0,1.0
2020-07-09 17:30:00,24.778,42.359,24.61,41.854,20.45,39.0,24.099999999999998,99.89999999999999,20.259999999999998,55.6,4.0,1.0,1.0,1.0
2020-07-09 17:40:00,24.828999999999997,42.099,24.615000000000002,41.773999999999994,20.45,39.5,24.189999999999994,99.89999999999999,20.169999999999995,56.80999999999999,4.0,1.0,1.0,1.0
2020-07-09 17:50:00,24.837999999999997,42.022,24.615000000000002,41.599000000000004,20.599999999999998,39.0,24.199999999999996,99.89999999999999,20.11,56.92999999999999,4.0,1.0,1.0,1.0
2020-07-09 18:00:00,24.831999999999997,41.91,24.619999999999997,41.49399999999999,20.55,38.5,24.199999999999996,99.89999999999999,20.18,56.7,4.0,1.0,1.0,1.0
2020-07-09 18:10:00,24.779,41.763999999999996,24.61,41.34400000000001,20.5,38.5,24.239999999999995,99.89999999999999,19.919999999999998,58.06,4.0,1.0,1.0,1.0
2020-07-09 18:20:00,24.755999999999997,41.668,24.619999999999997,41.312,20.5,39.0,24.189999999999994,99.89999999999999,20.25,56.25999999999999,4.0,1.0,1.0,1.0
2020-07-09 18:30:00,24.72,41.620000000000005,24.609999999999996,41.30200000000001,20.5,53.0,23.980000000000004,99.89999999999999,20.26,57.220000000000006,4.0,1.0,1.0,1.0
2020-07-09 18:40:00,24.72,41.587,24.61,41.300000000000004,20.35,96.5,23.719999999999995,99.89999999999999,20.18,57.31999999999999,4.0,1.0,1.0,1.0
2020-07-09 18:50:00,24.72,41.614,24.604999999999997,41.21999999999999,20.15,99.0,23.759999999999998,99.89999999999999,20.37,56.470000000000006,4.0,1.0,1.0,1.0
2020-07-09 19:00:00,24.726,41.57,24.604999999999997,41.141000000000005,20.099999999999998,99.0,23.880000000000003,99.89999999999999,20.229999999999997,57.239999999999995,4.0,1.0,1.0,1.0
2020-07-09 19:10:00,24.683,41.505,24.604999999999997,41.071,20.099999999999998,99.0,23.799999999999997,99.89999999999999,20.35,56.38000000000001,4.0,1.0,1.0,1.0
2020-07-09 19:20:00,24.630000000000003,41.532,24.599999999999998,41.03399999999999,20.099999999999998,99.5,23.840000000000003,99.89999999999999,20.31,56.83,4.0,1.0,1.0,1.0
2020-07-09 19:30:00,24.62,41.616,24.609999999999996,41.009,20.099999999999998,100.0,23.900000000000002,99.89999999999999,20.54,55.720000000000006,4.0,1.0,1.0,1.0
2020-07-09 19:40:00,24.732999999999997,41.312,24.595,40.976,20.15,99.0,23.900000000000002,99.89999999999999,20.38,56.9,4.0,1.0,1.0,1.0
2020-07-09 19:50:00,24.69,41.256,24.520000000000003,40.99,20.250000000000004,99.0,23.900000000000002,99.89999999999999,20.419999999999998,57.06,4.0,1.0,1.0,1.0
2020-07-09 20:00:00,24.580000000000005,41.444,24.523000000000003,40.96399999999999,20.199999999999996,99.0,23.900000000000002,99.89999999999999,20.84,56.209999999999994,4.0,1.0,1.0,1.0
